Date,BTC-USD,ETH-USD,USDT-USD,BNB-USD,USDC-USD,XRP-USD,BUSD-USD,ADA-USD,DOGE-USD,MATIC-USD,Total Crypto Volume,FTSE 100 Volume
2022-06-21,28970212744,15632089439,50165859626,1165714518,4898540814,1247582002,5013113114,1018828248,1051899538,522789437,109686629480,580244500.0
2022-06-22,28574793478,15010593493,46130025676,1050984086,4567777097,1064144662,4345858266,818977392,633619298,605095606,102801869054,1204359700.0
2022-06-23,26188097173,14657862919,43198538082,1148541185,4598601365,927324605,4346458681,711554788,434169751,1124167841,97335316390,763870700.0
2022-06-24,24957784918,16981552654,46919267632,1127877901,5032854948,2253100828,4690445711,945924412,514729444,942003078,104365541526,772223900.0
2022-06-25,18372538715,12481946184,36390241725,915553554,3411506544,912142249,3310831487,649820170,432671864,552357436,77429609928,
2022-06-26,18027170497,12096607824,37228683270,823875890,3243270528,789514304,3392421095,842528877,883689355,450317651,77778079291,
2022-06-27,20965695707,12492225250,39296953700,841135242,3977297459,989571906,4737933957,709992597,962250061,549370870,85522426749,802411400.0
2022-06-28,21381535161,14023205651,40773930242,1082126615,4237935225,1038924972,4847156949,724759074,534793983,637527134,89281895006,735789800.0
2022-06-29,23552740328,15386286815,44380636377,1062609997,5094612628,1094664825,6188661840,769352065,592828738,891744786,99014138399,718640800.0
2022-06-30,26267239923,16350755497,45578518327,1088852065,5219514116,1456445785,6202546205,903962268,566648029,889833979,104524316194,903650800.0
2022-07-01,30767551159,17499453625,49683415220,1234215934,5311122206,1249145615,5260378585,796619668,472441458,656930197,112931273667,677216200.0
2022-07-02,18100418740,9935603640,31666712588,767361243,3973778503,608601610,3881252912,494852064,352589827,407056822,70188227949,
2022-07-03,16390821947,8557248150,27890770459,724525676,3614447154,728566418,3731656763,439469536,280878240,422541679,62780926022,
2022-07-04,21594638208,13670889311,37816157114,1039372640,5032411793,1018446189,4532801976,808524892,379581122,419335308,86312158553,420674600.0
2022-07-05,26715546990,16195518291,46794873591,1310031377,6243487902,1130550266,5028050090,766706338,403220687,902290223,105490275755,1105144500.0
2022-07-06,24598943708,15373536703,41932894214,1266715664,5406302050,1099742037,4756293945,622551308,398926503,701023242,96156929374,933905000.0
2022-07-07,25814972520,14230795894,41395542117,1108137930,5521739581,1037133139,5198122168,619107061,402591742,599797232,95927939384,1108987400.0
2022-07-08,49899834488,16315929082,64720676603,1341618380,6142274118,1469173608,6411440193,827327238,444369733,903157847,148475801290,604222100.0
2022-07-09,29641127858,8821353104,38957001478,851653424,4905270940,602546961,4461460302,666827059,254272147,400549040,89562062313,
2022-07-10,28688807249,10984558039,40170710077,881096013,4439375698,913229467,4484473153,612314122,299810124,337318168,91811692110,
2022-07-11,24150249025,12064180410,38726869251,1021066311,4843512117,1042057085,4304223676,737643033,326125900,598956040,87814882848,676893400.0
2022-07-12,25810220018,12583282453,40368791506,1140033692,4780296209,968873598,4772113280,707915451,298462083,665827836,92095816126,855143900.0
2022-07-13,33042430345,18302588147,51757860849,1431776142,5445116047,1295979555,5865390079,977278539,446505400,964955675,119529880778,805881600.0
2022-07-14,31158743333,16688640823,49222660233,1609361574,5345559224,3386821229,5763579045,861474952,348090510,1558366887,115943297810,848278400.0
2022-07-15,25905575359,17411448225,45982487607,1151260376,5646216485,1512184333,5746399176,739541229,374357844,1100009259,105569479893,782905500.0
2022-07-16,24302954056,18364013796,44126749597,1030985968,5382938984,1292123515,4914750577,653009372,279644299,707554906,101054725070,
2022-07-17,22927802083,16079711737,42189248625,1050861669,5540927850,1093079294,4716284406,695937971,249697026,905988052,95449538713,
2022-07-18,39974475562,27440420623,70390606911,1632324536,8456901936,1627385386,7824000522,1514608156,564795959,2394645074,161820164665,670662200.0
2022-07-19,48765202697,27753529276,77160548741,1925805446,9504899153,1604201237,8650828628,1558576681,552211168,1657404213,179133207240,665883200.0
2022-07-20,42932549127,22942708340,68306872702,1675018362,8806753436,1534818247,8537816725,1559480054,1019375521,1482302697,158797695211,1059158500.0
2022-07-21,33631012204,20009556587,55292189306,1220055525,7372587537,1202692151,6365773600,929201777,492434239,1529051737,128044554663,798169600.0
2022-07-22,31421555646,18926100582,51645071119,1173778496,6285903773,1150022760,6286215043,783147406,479456105,1063418790,119214669720,606877600.0
2022-07-23,24021799169,14998811383,43014917183,1108172504,5287167945,863843426,4574101551,837188756,427922351,759538576,95893462844,
2022-07-24,23565495303,17217849557,41955275140,913146574,4866184511,912894827,4727016296,910596091,369141492,776354383,96213954174,
2022-07-25,35574561406,20585056021,56307512994,1005244476,6431520471,1207904872,5660205816,747132740,448572441,873721558,128841432795,711402100.0
2022-07-26,28624673855,18238563509,48266723630,926779355,6871887569,1110467650,5204855964,753266177,416488015,851549991,111265255715,730984300.0
2022-07-27,31758955233,23007524016,60104591185,1405510237,8262809031,1314040220,7739121672,1108377917,499204589,1309169356,136509303456,1188866700.0
2022-07-28,40212386158,27231399966,75754591120,1648592412,9419521160,1839928651,8590307252,1404871202,650983024,1720898181,168473479126,745838600.0
2022-07-29,35887249746,23249531113,72013108986,2562325488,8773001546,1706911237,8913658107,1601170272,696887711,1547385033,156951229239,883363000.0
2022-07-30,28148218301,15576977870,57489826931,1578905327,6342886733,1767280595,6503236647,1247885850,760571682,902081407,120317871343,
2022-07-31,23553591896,14200735370,52267348020,1313531523,7124030237,1359568596,6199044656,875157898,521194035,1102958859,108517161090,
2022-08-01,25849159141,16191371176,50882756969,1314157614,8090652736,1059391028,6732350584,647889797,444088167,722759640,111934576852,558506400.0
2022-08-02,28389250717,20426082309,54793315279,1768344106,8333966555,1232425419,6645412034,709947033,336642237,673685749,123309071438,623919300.0
